Date,Serial,note,PH2.0,PH2.1A,PH2.1B,PH2.1C
14/10/2016, 00230027 3435510B 38393730,BETA,,,1,
14/10/2016, 0027003C 34355108 38393730,BETA,,,1,
14/10/2016, 002B0026 3435510A 38393730,BETA,,,1,
14/10/2016, 00360027 3435510B 38393730,BETA,,,1,
14/10/2016, 00390026 3435510A 38393730,BETA,,,1,
14/10/2016, 003E0026 3435510B 38393730,BETA,,,1,
14/10/2016, 003E003D 34355108 38393730,BETA,,,1,
14/10/2016, 00400046 3435510B 38393730,BETA,,,1,
14/10/2016, 00430026 3435510B 38393730,BETA,,,1,
14/10/2016, 004F0026 3435510B 38393730,BETA,,,1,
17/10/2016, 001B0033 3435510E 38393730,BETA,,,1,
17/10/2016, 001C002F 3435510E 38393730,BETA,,,1,
17/10/2016, 001C0035 34355111 38393730,BETA,,,1,
17/10/2016, 001D0033 34355111 38393730,BETA,,,1,
17/10/2016, 001E002B 34355111 38393730,BETA,,,1,
17/10/2016, 0020002C 34355111 38393730,BETA,,,1,
17/10/2016, 0021002C 34355111 38393730,BETA,,,1,
17/10/2016, 00210035 34355111 38393730,BETA,,,1,
17/10/2016, 0022003D 3435510F 38393730,BETA,,,1,
17/10/2016, 0023003A 3435510C 38393730,BETA,,,1,
17/10/2016, 0023003B 34355108 38393730,BETA,,,1,
17/10/2016, 00240026 3435510A 38393730,BETA,,,1,
17/10/2016, 00240038 34355107 38393730,BETA,,,1,
17/10/2016, 0024003C 34355108 38393730,BETA,,,1,
17/10/2016, 0024003F 34355111 38393730,BETA,,,1,
17/10/2016, 0024003F 34355112 38393730,BETA,,,1,
17/10/2016, 00250026 3435510A 38393730,BETA,,,1,
17/10/2016, 00250035 3435510A 38393730,BETA,,,1,
17/10/2016, 00250036 34355107 38393730,BETA,,,1,
17/10/2016, 00260033 3435510B 38393730,BETA,,,1,
17/10/2016, 0026003C 3435510C 38393730,BETA,,,1,
17/10/2016, 0027002C 34355111 38393730,BETA,,,1,
17/10/2016, 00270036 34355107 38393730,BETA,,,1,
17/10/2016, 00270040 3435510B 38393730,BETA,,,1,
17/10/2016, 0028001C 3435510A 38393730,BETA,,,1,
17/10/2016, 0028001F 34355107 38393730,BETA,,,1,
17/10/2016, 0028003C 34355108 38393730,BETA,,,1,
17/10/2016, 00280040 3435510B 38393730,BETA,,,1,
17/10/2016, 0029001C 3435510A 38393730,BETA,,,1,
17/10/2016, 00290027 3435510B 38393730,BETA,,,1,
17/10/2016, 00290027 3435510F 38393730,BETA,,,1,
17/10/2016, 0029002C 34355111 38393730,BETA,,,1,
17/10/2016, 00290039 34355111 38393730,BETA,,,1,
17/10/2016, 002A0027 34355111 38393730,BETA,,,1,
17/10/2016, 002A002C 34355111 38393730,BETA,,,1,
17/10/2016, 002B0032 34355109 38393730,BETA,,,1,
17/10/2016, 002B0036 34355107 38393730,BETA,,,1,
17/10/2016, 002C001B 3435510A 38393730,BETA,,,1,
17/10/2016, 002C0022 34355111 38393730,BETA,,,1,
17/10/2016, 002C0023 34355111 38393730,BETA,,,1,
17/10/2016, 002C0033 34355111 38393730,BETA,,,1,
17/10/2016, 002D001A 3435510A 38393730,BETA,,,1,
17/10/2016, 002D0027 3435510C 38393730,BETA,,,1,
17/10/2016, 002D002B 3435510E 38393730,BETA,,,1,
17/10/2016, 002D003B 34355111 38393730,BETA,,,1,
17/10/2016, 002D003D 34355111 38393730,BETA,,,1,
17/10/2016, 002E0038 34355107 38393730,BETA,,,1,
17/10/2016, 002E003E 34355107 38393730,BETA,,,1,
17/10/2016, 002E0040 3435510B 38393730,BETA,,,1,
17/10/2016, 002F001B 3435510A 38393730,BETA,,,1,
17/10/2016, 002F0026 34355112 38393730,BETA,,,1,
17/10/2016, 002F0038 34355107 38393730,BETA,,,1,
17/10/2016, 002F0040 3435510B 38393730,BETA,,,1,
17/10/2016, 00300019 3435510A 38393730,BETA,,,1,
17/10/2016, 0030001F 3435510E 38393730,BETA,,,1,
17/10/2016, 00300033 34355111 38393730,BETA,,,1,
17/10/2016, 00300034 34355111 38393730,BETA,,,1,
17/10/2016, 00300038 34355107 38393730,BETA,,,1,
17/10/2016, 00310032 34355109 38393730,BETA,,,1,
17/10/2016, 00310038 34355107 38393730,BETA,,,1,
17/10/2016, 0032001B 3435510A 38393730,BETA,,,1,
17/10/2016, 00320023 3435510F 38393730,BETA,,,1,
17/10/2016, 0032002C 34355111 38393730,BETA,,,1,
17/10/2016, 0032002E 3435510E 38393730,BETA,,,1,
17/10/2016, 00330047 3435510B 38393730,BETA,,,1,
17/10/2016, 0034003E 34355107 38393730,BETA,,,1,
17/10/2016, 00340040 3435510B 38393730,BETA,,,1,
17/10/2016, 00350026 3435510A 38393730,BETA,,,1,
17/10/2016, 0035002C 34355111 38393730,BETA,,,1,
17/10/2016, 00350032 34355112 38393730,BETA,,,1,
17/10/2016, 00350039 34355111 38393730,BETA,,,1,
17/10/2016, 0035003D 34355108 38393730,BETA,,,1,
17/10/2016, 00350042 3435510E 38393730,BETA,,,1,
17/10/2016, 00360029 3435510A 38393730,BETA,,,1,
17/10/2016, 0036002D 34355112 38393730,BETA,,,1,
17/10/2016, 0036002F 34355112 38393730,BETA,,,1,
17/10/2016, 00370027 3435510B 38393730,BETA,,,1,
17/10/2016, 0037002F 34355112 38393730,BETA,,,1,
17/10/2016, 00370033 3435510B 38393730,BETA,,,1,
17/10/2016, 0038001C 3435510E 38393730,BETA,,,1,
17/10/2016, 0038003D 34355108 38393730,BETA,,,1,
17/10/2016, 00380046 3435510B 38393730,BETA,,,1,
17/10/2016, 00380047 3435510B 38393730,BETA,,,1,
17/10/2016, 0039003C 34355108 38393730,BETA,,,1,
17/10/2016, 0039003E 34355108 38393730,BETA,,,1,
17/10/2016, 00390046 3435510B 38393730,BETA,,,1,
17/10/2016, 00390047 3435510B 38393730,BETA,,,1,
17/10/2016, 003A002D 34355111 38393730,BETA,,,1,
17/10/2016, 003A0041 34355111 38393730,BETA,,,1,
17/10/2016, 003A0044 3435510C 38393730,BETA,,,1,
17/10/2016, 003C0026 3435510A 38393730,BETA,,,1,
17/10/2016, 003C0039 3435510E 38393730,BETA,,,1,
17/10/2016, 003C003E 34355108 38393730,BETA,,,1,
17/10/2016, 003C003F 3435510F 38393730,BETA,,,1,
17/10/2016, 003D001C 3435510F 38393730,BETA,,,1,
17/10/2016, 003D0033 3435510F 38393730,BETA,,,1,
17/10/2016, 003D0041 3435510E 38393730,BETA,,,1,
17/10/2016, 003E0039 3435510E 38393730,BETA,,,1,
17/10/2016, 003F001F 3435510E 38393730,BETA,,,1,
17/10/2016, 003F003C 3435510F 38393730,BETA,,,1,
17/10/2016, 003F003F 34355107 38393730,BETA,,,1,
17/10/2016, 00400027 3435510A 38393730,BETA,,,1,
17/10/2016, 00400037 34355107 38393730,BETA,,,1,
17/10/2016, 0041003A 3435510C 38393730,BETA,,,1,
17/10/2016, 00420031 3435510C 38393730,BETA,,,1,
17/10/2016, 00420039 34355107 38393730,BETA,,,1,
17/10/2016, 00430042 34355111 38393730,BETA,,,1,
17/10/2016, 00430045 34355112 38393730,BETA,,,1,
17/10/2016, 00440026 3435510B 38393730,BETA,,,1,
17/10/2016, 0045001E 3435510F 38393730,BETA,,,1,
17/10/2016, 0046003E 3435510B 38393730,BETA,,,1,
17/10/2016, 00470029 3435510A 38393730,BETA,,,1,
17/10/2016, 00480026 3435510B 38393730,BETA,,,1,
17/10/2016, 0049002C 3435510C 38393730,BETA,,,1,
17/10/2016, 0049003E 34355108 38393730,BETA,,,1,
17/10/2016, 0049003F 3435510B 38393730,BETA,,,1,
17/10/2016, 00490042 34355111 38393730,BETA,,,1,
17/10/2016, 004A0022 3435510E 38393730,BETA,,,1,
17/10/2016, 004A0039 34355107 38393730,BETA,,,1,
17/10/2016, 004B0022 34355111 38393730,BETA,,,1,
17/10/2016, 004C003E 34355108 38393730,BETA,,,1,
17/10/2016, 004C003F 3435510B 38393730,BETA,,,1,
17/10/2016, 004D0020 34355107 38393730,BETA,,,1,
17/10/2016, 004D002E 3435510C 38393730,BETA,,,1,
17/10/2016, 004D0037 34355107 38393730,BETA,,,1,
17/10/2016, 004E0029 3435510A 38393730,BETA,,,1,
17/10/2016, 004E002B 34355111 38393730,BETA,,,1,
17/10/2016, 004E003D 3435510F 38393730,BETA,,,1,
17/10/2016, 004F002B 34355111 38393730,BETA,,,1,
17/10/2016, 004F0037 34355107 38393730,BETA,,,1,
17/10/2016, 004F0039 34355107 38393730,BETA,,,1,
17/10/2016, 0050002F 3435510C 38393730,BETA,,,1,
17/10/2016, 00500039 34355107 38393730,BETA,,,1,
17/10/2016, 00510033 34355112 38393730,BETA,,,1,
17/10/2016, 00510038 34355107 38393730,BETA,,,1,
17/10/2016, 00530030 3435510C 38393730,BETA,,,1,
17/10/2016, 00540033 34355111 38393730,BETA,,,1,
17/10/2016, 0055002C 34355111 38393730,BETA,,,1,
18/10/2016, 001C0036 34355107 38393730,BETA,,,1,
18/10/2016, 001F0026 34355111 38393730,BETA,,,1,
18/10/2016, 001F0036 3435510A 38393730,BETA,,,1,
18/10/2016, 001F0038 34355107 38393730,BETA,,,1,
